function,dim,runs,N_init,N_min,best_mean,best_median,best_std,best_min,best_max,error_mean,error_median,final_pop_mean,final_pop_min,final_pop_max,wall_total
cec2017_f1,100,51,1800.0,4,100.00000000022305,100.00000000007881,3.826238480380983e-10,100.00000000000055,100.00000000200545,2.2305691934033187e-10,7.881340025051031e-11,4.0,4,4,25792.640899316408
cec2017_f2,100,51,1800.0,4,537455.527645103,312.56810874685107,2981340.8111958005,200.00000003464888,20953526.68623748,537255.527645103,112.56810874685107,4.0,4,4,25792.640899316408
cec2017_f3,100,51,1800.0,4,300.0000029131564,300.0000017013381,3.3556211394010886e-06,300.00000027456684,300.0000165506691,2.913156366975825e-06,1.7013380784192123e-06,4.0,4,4,25792.640899316408
cec2017_f4,100,51,1800.0,4,599.0837085654047,595.6446643425666,8.012114642891138,592.1186973070485,630.722257446236,199.0837085654047,195.64466434256656,4.0,4,4,25792.640899316408
cec2017_f5,100,51,1800.0,4,528.0734715050443,528.6217168745327,4.466133857542455,518.9876429095327,536.7931969374418,28.07347150504436,28.621716874532694,4.0,4,4,25792.640899316408
cec2017_f6,100,51,1800.0,4,600.0047138526019,600.0022506455126,0.004654791971628535,600.0003111048397,600.0188797764398,0.0047138526018002,0.002250645512617666,4.0,4,4,25792.640899316408
cec2017_f7,100,51,1800.0,4,836.7819078434736,836.4499632308809,3.7048980078327154,829.06018199382,844.3596855861477,136.78190784347368,136.44996323088094,4.0,4,4,25792.640899316408
cec2017_f8,100,51,1800.0,4,827.8173794897672,828.8325622101297,5.5571723759073794,809.9495905709332,836.6161813034,27.817379489767035,28.83256221012971,4.0,4,4,25792.640899316408
cec2017_f9,100,51,1800.0,4,900.2494848001245,900.0895282504166,0.319762500708531,900.0000000000001,901.5420285566053,0.249484800124552,0.08952825041660617,4.0,4,4,25792.640899316408
cec2017_f10,100,51,1800.0,4,11322.1895047754,11326.151529725961,483.5308731930843,9801.261608828958,12231.73785471591,10322.1895047754,10326.151529725961,4.0,4,4,25792.640899316408
cec2017_f11,100,51,1800.0,4,1486.113353383008,1490.7840828739081,90.4721556085474,1276.8711401740638,1705.1956659015623,386.11335338300785,390.7840828739081,4.0,4,4,25792.640899316408
cec2017_f12,100,51,1800.0,4,34061.443420820295,32161.29047781645,10836.244013412472,17345.270056920926,67989.30225489575,32861.443420820295,30961.29047781645,4.0,4,4,25792.640899316408
cec2017_f13,100,51,1800.0,4,2717.9328577636306,2523.486288806728,815.4435682716065,1679.1471162147338,5018.339296047105,1417.9328577636297,1223.4862888067282,4.0,4,4,25792.640899316408
cec2017_f14,100,51,1800.0,4,1723.8591246928427,1726.5261318928078,31.98377711019285,1642.914437434258,1800.10093035302,323.85912469284307,326.5261318928078,4.0,4,4,25792.640899316408
cec2017_f15,100,51,1800.0,4,1756.4827436334456,1752.9784939996493,45.24907327922634,1657.6719905536813,1861.830907268593,256.4827436334455,252.97849399964934,4.0,4,4,25792.640899316408
cec2017_f16,100,51,1800.0,4,3135.047142068287,3114.415949007288,245.126047843244,2704.1089506687936,3715.845951093493,1535.0471420682873,1514.415949007288,4.0,4,4,25792.640899316408
cec2017_f17,100,51,1800.0,4,2794.56499732119,2797.049874755501,196.67245918452966,2217.722316304513,3185.8216523915744,1094.5649973211905,1097.0498747555012,4.0,4,4,25792.640899316408
cec2017_f18,100,51,1800.0,4,2026.2251539777176,2029.5998561289514,52.20682700816756,1928.7284067478327,2156.9015396243876,226.22515397771807,229.5998561289514,4.0,4,4,25792.640899316408
cec2017_f19,100,51,1800.0,4,2081.216932665605,2078.975197680962,30.56161082717502,2024.448630042496,2167.2921328442603,181.21693266560476,178.97519768096208,4.0,4,4,25792.640899316408
cec2017_f20,100,51,1800.0,4,3498.204193902849,3514.609932270418,233.26356851982766,2914.9462754017404,3952.2469664160353,1498.2041939028493,1514.609932270418,4.0,4,4,25792.640899316408
cec2017_f21,100,51,1800.0,4,2356.8097857496577,2356.3163515415977,4.700806631210142,2344.7058231965293,2369.340255624027,256.8097857496579,256.31635154159767,4.0,4,4,25792.640899316408
cec2017_f22,100,51,1800.0,4,12994.625492311054,13067.26672417251,465.92724967505666,11759.995500834,14169.250940059379,10794.625492311054,10867.26672417251,4.0,4,4,25792.640899316408
cec2017_f23,100,51,1800.0,4,2859.742383719839,2859.6744452291823,9.472609071850428,2835.9145347211797,2880.95426637732,559.7423837198389,559.6744452291823,4.0,4,4,25792.640899316408
cec2017_f24,100,51,1800.0,4,3314.462239380481,3313.6120919831064,6.7296826219139305,3301.3636651961583,3328.0057829364887,914.4622393804814,913.6120919831064,4.0,4,4,25792.640899316408
cec2017_f25,100,51,1800.0,4,3256.1025450675897,3261.8819357011125,20.634565853901563,3197.873730816147,3273.901545447352,756.102545067589,761.8819357011125,4.0,4,4,25792.640899316408
cec2017_f26,100,51,1800.0,4,5976.4924130827585,5972.3622487565135,84.41847243957737,5805.285337877709,6132.535846010274,3376.4924130827585,3372.3622487565135,4.0,4,4,25792.640899316408
cec2017_f27,100,51,1800.0,4,3349.788850200942,3351.530636027415,18.35090892257426,3314.3950713790823,3410.308363459073,649.7888502009417,651.5306360274149,4.0,4,4,25792.640899316408
cec2017_f28,100,51,1800.0,4,3325.847511519107,3321.669353914893,24.430389370114753,3278.186323325796,3375.382664632893,525.847511519107,521.6693539148928,4.0,4,4,25792.640899316408
cec2017_f29,100,51,1800.0,4,4271.590113582113,4265.39852024558,179.44622710710314,3954.6657599932223,4698.5496647840355,1371.5901135821132,1365.3985202455797,4.0,4,4,25792.640899316408
cec2017_f30,100,51,1800.0,4,5491.826769077622,5486.2581911135585,156.86891888243736,5215.915068358786,5821.466906022887,2491.8267690776224,2486.2581911135585,4.0,4,4,25792.640899316408
