function,dim,runs,N_init,N_min,best_mean,best_median,best_std,best_min,best_max,error_mean,error_median,final_pop_mean,final_pop_min,final_pop_max,wall_total
cec2017_f5,10,51,180.0,4,500.1755812345879,500.0,0.42742122990116665,500.0,501.9899181141866,0.17558123458791794,0.0,4.0,4,4,9918.303744904697
cec2017_f7,10,51,180.0,4,710.7199899211688,710.6588888556053,0.29075616852974856,710.3669207724204,711.4880004255729,10.719989921168803,10.658888855605255,4.0,4,4,9918.303744904697
cec2017_f8,10,51,180.0,4,800.2145990837721,800.0,0.40922422238880424,800.0,800.9949590570934,0.21459908377220935,0.0,4.0,4,4,9918.303744904697
cec2017_f10,10,51,180.0,4,1001.2509551145502,1000.190489233265,2.4649476016197527,1000.0001272756626,1011.89210689644,1.250955114550201,0.1904892332649979,4.0,4,4,9918.303744904697
cec2017_f11,10,51,180.0,4,1100.0,1100.0,0.0,1100.0,1100.0,0.0,0.0,4.0,4,4,9918.303744904697
cec2017_f12,10,51,180.0,4,1227.164972601849,1200.208181167344,55.219157868174015,1200.0000381826985,1438.3843883975514,27.16497260184914,0.20818116734403702,4.0,4,4,9918.303744904697
cec2017_f13,10,51,180.0,4,1304.3174744822136,1305.9511134754835,2.65578513185687,1300.0,1305.9511134754835,4.317474482213486,5.951113475483453,4.0,4,4,9918.303744904697
cec2017_f14,10,51,180.0,4,1400.0,1400.0,0.0,1400.0,1400.0,0.0,0.0,4.0,4,4,9918.303744904697
cec2017_f15,10,51,180.0,4,1500.0224197230473,1500.0000631235223,0.09734356319121425,1500.000000004443,1500.4993772018372,0.022419723047291614,6.312352229542739e-05,4.0,4,4,9918.303744904697
cec2017_f16,10,51,180.0,4,1600.0002734493244,1600.0001109180137,0.0003234183166499247,1600.0000382362132,1600.0012369850685,0.0002734493241895703,0.00011091801366092113,4.0,4,4,9918.303744904697
cec2017_f17,10,51,180.0,4,1700.0000254551321,1700.0000254551323,2.2737367544323206e-13,1700.0000254551323,1700.0000254551323,2.5455132345086895e-05,2.5455132345086895e-05,4.0,4,4,9918.303744904697
cec2017_f18,10,51,180.0,4,1800.0769422745484,1800.0001979143517,0.14866348814198388,1800.0000001850995,1800.4999545028152,0.07694227454831604,0.00019791435170191107,4.0,4,4,9918.303744904697
cec2017_f19,10,51,180.0,4,1900.0,1900.0,0.0,1900.0,1900.0,0.0,0.0,4.0,4,4,9918.303744904697
cec2017_f21,10,51,180.0,4,2234.496638982374,2200.0000000000005,48.77980093054641,2200.0,2304.7942640119245,134.4966389823742,100.00000000000045,4.0,4,4,9918.303744904697
cec2017_f22,10,51,180.0,4,2298.863446997475,2300.0,8.036643352632884,2242.03579687123,2300.0000000000005,98.86344699747512,100.0,4.0,4,4,9918.303744904697
cec2017_f23,10,51,180.0,4,2602.383379518902,2602.88163600907,1.4513088065099902,2600.0,2604.3439154205803,302.38337951890173,302.88163600907,4.0,4,4,9918.303744904697
cec2017_f24,10,51,180.0,4,2663.8706307456596,2731.2334705903586,111.20700223712365,2400.0000000000005,2734.7082443854447,263.87063074565935,331.2334705903586,4.0,4,4,9918.303744904697
cec2017_f25,10,51,180.0,4,2907.024300393937,2898.0089894405774,18.29956616401777,2897.7428694699875,2945.7775562610896,407.0243003939376,398.00898944057735,4.0,4,4,9918.303744904697
cec2017_f26,10,51,180.0,4,2900.0,2900.0,0.0,2900.0,2900.0,300.0,300.0,4.0,4,4,9918.303744904697
cec2017_f27,10,51,180.0,4,3089.2666996535463,3089.51790623097,0.2561814480444026,3089.005444813027,3089.51790623097,389.26669965354705,389.51790623096986,4.0,4,4,9918.303744904697
cec2017_f28,10,51,180.0,4,3178.5044511645465,3100.0,130.1142219239001,3100.0,3411.82166588004,378.50445116454694,300.0,4.0,4,4,9918.303744904697
cec2017_f29,10,51,180.0,4,3132.5061225652867,3132.2328668222995,2.179726070699376,3128.9650824449145,3137.604270209756,232.506122565287,232.23286682229946,4.0,4,4,9918.303744904697
cec2017_f30,10,51,180.0,4,19430.562971837906,3394.0074138290847,113307.7748014104,3394.0074138290847,820637.5067989303,16430.562971837906,394.0074138290847,4.0,4,4,9918.303744904697
