run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_f_best_tau,K_1_err_best_tau,K_1_depth_into_Ain,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_f_best_tau,K_5_err_best_tau,K_5_depth_into_Ain,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_f_best_tau,K_10pctN_err_best_tau,K_10pctN_depth_into_Ain,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_f_best_tau,K_25pctN_err_best_tau,K_25pctN_depth_into_Ain,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
0,114,1,147,1,204.9126538963451,4.912653896345091,0.0873461036549088,26.07831412813377,49.401902889968795,0.0684931506849315,0.1506849315068493,11.783694869421923,20.298077449803074,0.580532560217236,0.14965986394557823,118,5,146,6,203.00331830135028,3.0033183013502764,1.9966816986497236,10.680195731840087,19.263205918170303,0.2714285714285714,0.45714285714285713,6.959076822874227,11.854603615901468,0.5870358089020788,0.3424657534246575,120,15,145,22,200.90877793626242,0.9087779362624246,4.091222063737575,6.922230013369727,14.88076387856185,0.3902439024390244,0.6341463414634146,5.236678921702632,9.607700061678424,0.5450502084874418,0.45517241379310347,122,37,145,46,200.90877793626242,0.9087779362624246,4.091222063737575,4.13897673654796,10.553841400635003,0.5656565656565656,0.7676767676767676,3.8701438475482854,6.865104737763043,0.5637414133333893,0.6275862068965518
1,109,1,148,1,201.41199955114305,1.4119995511430545,3.5880004488569455,46.04097269606331,98.63645896635575,0.013605442176870748,0.034013605442176874,15.498412620345245,27.63140231909874,0.5608985183366098,0.08108108108108109,114,5,147,6,201.41199955114305,1.4119995511430545,3.5880004488569455,14.318742270461996,27.646605563849278,0.2198581560283688,0.3829787234042553,7.439021265993493,15.081640801062838,0.49325012869085494,0.2925170068027211,117,15,146,15,201.35826924966236,1.3582692496623565,3.6417307503376435,6.558722439598597,15.481172080365354,0.3893129770992366,0.648854961832061,5.861678505065678,10.436761343457654,0.5616376874172854,0.410958904109589,120,37,145,43,200.5301443824259,0.5301443824259024,4.4698556175740976,3.691461754425262,8.03164902286478,0.5784313725490197,0.8431372549019608,3.6202997772800947,7.219765238363232,0.501442866596704,0.6689655172413793
2,112,1,148,1,201.66258016058705,1.662580160587055,3.337419839412945,61.85847795804136,122.93623630121958,0.006802721088435374,0.006802721088435374,20.30952868637614,40.95790245334993,0.4958634956833594,0.07432432432432433,116,5,146,5,201.66258016058705,1.662580160587055,3.337419839412945,35.090875620448855,66.36723446567083,0.02127659574468085,0.06382978723404255,14.177419476260063,24.45586025079927,0.5797146095401291,0.14383561643835616,122,15,145,16,200.59164421667998,0.5916442166799811,4.408355783320019,11.260834091467245,19.225349130891438,0.20155038759689922,0.43410852713178294,6.7600607293051045,12.013048052057345,0.562726520364445,0.33793103448275863,124,36,144,36,200.34386234388515,0.34386234388514936,4.656137656114851,6.89428111962566,13.193935181901885,0.37037037037037035,0.6388888888888888,5.068437334716318,9.598975514929448,0.5280185710270114,0.4861111111111111
3,103,1,150,1,204.7957564457415,4.795756445741489,0.20424355425851104,33.69177144187114,55.118455663100534,0.04697986577181208,0.09395973154362416,15.770723400482174,28.292682122707326,0.5574135153423578,0.1,105,5,149,5,200.97117472171,0.971174721710014,4.028825278289986,22.332810744951203,42.63962245442609,0.09027777777777778,0.2152777777777778,9.638833577837715,20.387438405675663,0.47278296498271005,0.21476510067114093,109,15,148,18,200.6774049391115,0.6774049391115113,4.322595060888489,8.556914141307729,15.248184416966643,0.3230769230769231,0.5615384615384615,5.831677132556864,10.947968183852502,0.5326720935450091,0.4189189189189189,111,37,148,41,200.6774049391115,0.6774049391115113,4.322595060888489,5.964546453447554,11.525486637969902,0.42990654205607476,0.7383177570093458,4.657338477194173,8.73727861532595,0.5330422299942221,0.5337837837837838
4,120,1,145,1,203.45882667267915,3.4588266726791517,1.5411733273208483,42.889536662064586,74.13761907207842,0.013888888888888888,0.0625,17.209329767498225,32.60134404856865,0.527871787796853,0.1103448275862069,123,5,145,5,202.57501048086436,2.575010480864364,2.424989519135636,24.121131440904406,45.19927957916885,0.04285714285714286,0.12857142857142856,12.352589459775334,23.665481792352747,0.5219665320216276,0.18620689655172415,127,15,144,16,201.3343813337658,1.3343813337658048,3.665618666234195,11.792872950093809,22.197258086736355,0.21875,0.40625,6.9850151652844295,14.085560312832078,0.4958989923120783,0.3958333333333333,131,36,143,42,200.88252237006333,0.8825223700633273,4.117477629936673,4.160584805675882,11.42076200603131,0.5841584158415841,0.7722772277227723,3.6296064070463014,7.469621015217407,0.4859157378469301,0.5944055944055944
5,123,1,145,1,204.19627582901833,4.196275829018333,0.8037241709816669,44.39482489096581,74.72552411024195,0.013888888888888888,0.0625,19.27128188407189,40.34450348709789,0.47766808904302954,0.06896551724137931,129,5,143,6,201.49126385730779,1.4912638573077857,3.5087361426922143,15.150337073352432,26.544623195751402,0.13138686131386862,0.34306569343065696,8.06933434345902,15.624560378500718,0.5164519287571359,0.25874125874125875,133,15,142,20,201.49126385730779,1.4912638573077857,3.5087361426922143,8.141493927709803,14.698345503522098,0.3114754098360656,0.639344262295082,5.2257597888050675,10.675430908139319,0.48951277318658554,0.4507042253521127,136,36,141,41,201.1180708055832,1.1180708055831872,3.881929194416813,4.328231400770207,8.51791621240281,0.55,0.86,4.3241604762110235,7.128843111498674,0.6065725403938604,0.6170212765957447
6,94,1,152,1,204.04067909737378,4.040679097373783,0.9593209026262173,43.26391559090908,76.72212340830788,0.006622516556291391,0.026490066225165563,26.609040960408464,40.000901964679144,0.665211024089014,0.07894736842105263,96,5,152,5,202.99621580070442,2.9962158007044195,2.0037841992955805,31.29761856345698,52.43209055311744,0.013605442176870748,0.06802721088435375,12.739788228624388,27.66718163886048,0.46046570246715945,0.17105263157894737,102,15,150,19,201.79946888017562,1.799468880175624,3.200531119824376,10.334971788528975,17.77445225393467,0.24427480916030533,0.48854961832061067,5.704289300271793,11.453339082610112,0.4980459636380413,0.42,106,38,149,42,200.62180904933035,0.6218090493303521,4.378190950669648,4.268088920865267,9.367431412156936,0.5607476635514018,0.8504672897196262,4.049208324364493,6.940201978583406,0.5834424324911353,0.6577181208053692
7,108,1,149,1,204.82288722352166,4.822887223521661,0.17711277647833867,69.49110560158721,121.56015448534386,0.013513513513513514,0.02702702702702703,22.05253812348514,47.06314018444054,0.4685734533875385,0.026845637583892617,115,5,147,9,201.33627028517483,1.3362702851748338,3.663729714825166,13.122899405918275,24.43971109720963,0.2246376811594203,0.4057971014492754,7.449411544604657,16.317474527853054,0.4565296873538188,0.3197278911564626,117,15,146,15,201.2302336147014,1.2302336147014046,3.7697663852985954,8.656039279307123,16.420729621162508,0.29770992366412213,0.5725190839694656,6.682652717052184,11.814447484209321,0.5656339601139984,0.363013698630137,120,37,145,38,200.69587341118907,0.6958734111890692,4.304126588810931,4.490754520293791,11.072550373140386,0.514018691588785,0.7850467289719626,4.2589593095974765,9.076525627914945,0.46922792753418824,0.5862068965517241
8,100,1,151,1,204.8107687563438,4.810768756343805,0.18923124365619515,44.38036439470393,71.62730997882367,0.02,0.06666666666666667,22.563657935432715,50.11274937170721,0.4502578329532198,0.09271523178807947,105,5,149,6,201.46728384928676,1.4672838492867584,3.5327161507132416,12.933999270063566,25.354835433464878,0.13286713286713286,0.35664335664335667,8.784084855607116,17.95580896372736,0.4892057424620578,0.2348993288590604,108,15,149,16,200.94941734606203,0.9494173460620345,4.0505826539379655,6.9782071591274075,14.573670716035075,0.3383458646616541,0.6917293233082706,5.758322038145364,10.580302063020786,0.5442493044004174,0.4228187919463087,111,37,148,41,200.33860429950286,0.33860429950286175,4.661395700497138,3.7102573818224016,7.234029295226488,0.6355140186915887,0.9065420560747663,3.944893606009516,7.4321142755598935,0.5307902246581548,0.6283783783783784
9,119,1,146,1,204.78930204552145,4.7893020455214526,0.21069795447854744,55.97350613009371,96.90745646106694,0.020689655172413793,0.034482758620689655,18.593724978730627,35.40938968610225,0.5251071860758005,0.0547945205479452,125,5,144,7,200.27818621814606,0.27818621814606104,4.721813781853939,16.361794509302428,30.549407966711183,0.0948905109489051,0.22627737226277372,8.671654030243667,15.229826745410646,0.5693862560095624,0.2152777777777778,129,15,143,18,200.27818621814606,0.27818621814606104,4.721813781853939,8.051461526492346,14.289784834681535,0.28,0.568,5.147930440826137,8.854767676249615,0.5813738574569257,0.48951048951048953,132,36,142,47,200.27818621814606,0.27818621814606104,4.721813781853939,4.915583271439459,10.015774737243419,0.5052631578947369,0.7894736842105263,3.855791270992726,6.331149637966477,0.6090191341980633,0.6901408450704225
