function,func_id,dim,f_star,n_runs,error_min,error_median,error_mean,error_max,eps_in,margin,eps_source,r_geo,K_1_success,K_1_tau_med,K_1_N_med,K_1_n_in_med,K_1_err_best_tau_med,K_1_depth_into_Ain_med,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r80,K_1_tight,K_1_beta_r,K_5_success,K_5_tau_med,K_5_N_med,K_5_n_in_med,K_5_err_best_tau_med,K_5_depth_into_Ain_med,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_success,K_10pctN_tau_med,K_10pctN_N_med,K_10pctN_n_in_med,K_10pctN_err_best_tau_med,K_10pctN_depth_into_Ain_med,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_success,K_25pctN_tau_med,K_25pctN_N_med,K_25pctN_n_in_med,K_25pctN_err_best_tau_med,K_25pctN_depth_into_Ain_med,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
cec2017_f1,1,10,100.0,51,0.0,0.0,0.0,0.0,5.0,5.0,median(final_error)+margin,5.0,51,191.0,128.0,1.0,4.104997919280308,0.8950020807196921,15.280478137499799,24.11628677599521,0.07086614173228346,0.25196850393700787,1.9946921465940142,0.5129318828574105,1.0,51,196.0,127.0,6.0,2.8409451107146566,2.1590548892853434,7.4550736884292945,12.680427364863519,0.3008130081300813,0.6694915254237288,1.4870090866075374,0.5261065008779868,1.0,51,199.0,127.0,15.0,2.2149108125670836,2.7850891874329164,4.607906502625909,8.344126417264771,0.5504587155963303,0.875,1.2809120514710493,0.5242672932842205,1.0,51,201.0,126.0,37.0,1.5297672779345817,3.4702327220654183,2.8205577918904794,5.595312872481133,0.7526881720430108,0.967391304347826,1.1149010734475095,0.5319159795761514,1.0
cec2017_f2,2,10,200.0,51,0.0,0.0,0.0,0.0,5.0,5.0,median(final_error)+margin,5.0,51,109.0,148.0,1.0,3.706730251185661,1.293269748814339,45.414548462475054,79.33144540940133,0.02040816326530612,0.047619047619047616,35.941464574440204,0.5440741125345308,0.08,51,114.0,147.0,6.0,1.5134359187383097,3.4865640812616903,16.904874695119133,33.09637460871525,0.12056737588652482,0.2916666666666667,16.490385522901633,0.5163530764103779,0.24324324324324326,51,117.0,146.0,17.0,1.1238091854824006,3.8761908145175994,8.472475610906244,16.884226628816645,0.2903225806451613,0.5714285714285714,10.947968183852502,0.5262303207745999,0.42,51,120.0,145.0,41.0,0.6218090493303521,4.378190950669648,4.564373306210058,9.70897138681645,0.5428571428571428,0.8076923076923077,7.405116818902969,0.5352078515986155,0.6206896551724138
cec2017_f3,3,10,300.0,51,0.0,0.0,0.0,0.0,5.0,5.0,median(final_error)+margin,5.0,51,107.0,149.0,1.0,4.213654769593234,0.7863452304067664,16.339612175153775,25.677022131448417,0.0738255033557047,0.2671232876712329,5.371724347648822,0.8237375550576636,0.7066666666666667,51,111.0,148.0,6.0,3.025404925543967,1.9745950744560332,8.512912747865869,14.31891242412371,0.2553191489361702,0.589041095890411,4.298911125852494,0.8148210623483779,0.9256756756756757,51,113.0,147.0,18.0,1.9078991471756126,3.0921008528243874,4.825521109703857,8.919485655389167,0.515625,0.8503937007874016,3.5509197427839716,0.8231204387069272,0.9931506849315068,51,116.0,146.0,43.0,1.3739670055591091,3.626032994440891,2.7711315666330734,5.64477440933706,0.7604166666666666,0.9615384615384616,3.0226128226860642,0.8219793352140485,1.0
cec2017_f4,4,10,400.0,51,0.0,0.0,0.0,0.0,5.0,5.0,median(final_error)+margin,5.0,51,86.0,154.0,1.0,4.940762517689109,0.05923748231089121,0.54058454944294,0.7473863122441005,1.0,1.0,13.121256131912547,0.6787072225943579,0.1858974358974359,51,88.0,154.0,7.0,4.840582983130446,0.15941701686955412,0.38499975122647356,0.5777059683250059,1.0,1.0,12.1458826156306,0.6783037397286328,0.20261437908496732,51,90.0,153.0,23.0,4.7105690631790935,0.2894309368209065,0.26082247978911255,0.4356084357012264,1.0,1.0,11.672197354615909,0.6626777679044702,0.22727272727272727,51,91.0,153.0,47.0,4.590408523488293,0.40959147651170724,0.19442453561342177,0.3421459633060067,1.0,1.0,10.38329493197987,0.6566104599797488,0.3246753246753247
cec2017_f5,5,10,500.0,51,0.9954569388921186,2.9856618789904132,2.9083341929102087,4.975225858799945,7.985661878990413,5.0,median(final_error)+margin,5.0,51,362.0,95.0,1.0,7.538455042061855,0.447206836928558,11.530893910369286,16.452605934270697,0.10638297872340426,0.39361702127659576,79.86210901103026,0.8416534911678093,0.010526315789473684,51,459.0,80.0,5.0,5.702285181061484,2.2833766979289294,6.567187875266143,9.737397934158162,0.34146341463414637,0.8082191780821918,74.70242685837,0.8471814397720483,0.0125,51,487.0,76.0,8.0,5.078412586277636,2.907249292712777,5.394137060934554,8.13639822947789,0.44776119402985076,0.9305555555555556,73.22196487676678,0.8526874175207114,0.013157894736842105,51,590.0,64.0,16.0,3.7676080649530945,4.218053814037319,3.1236201442179663,5.077907320117834,0.7884615384615384,1.0,69.2082146625078,0.8672245139067718,0.015625
cec2017_f6,6,10,600.0,51,0.0,1.1368683772161603e-13,2.7865241338754547e-08,1.4211235566108371e-06,5.000000000000114,5.0,median(final_error)+margin,5.0,51,73.0,158.0,1.0,4.631539179721699,0.36846082027841476,6.377446252390996,8.97691905454276,0.31645569620253167,0.8717948717948718,25.530187339334166,0.757204711163875,0.006329113924050633,51,80.0,156.0,6.0,3.8141629441021223,1.1858370558979914,3.8304167921707517,5.730999288464432,0.7066666666666667,1.0,19.631281923792237,0.7524885636512464,0.00641025641025641,51,86.0,154.0,17.0,3.0566778659158444,1.9433221340842692,2.245116470281289,3.652955074571469,0.9338235294117647,1.0,16.038656657444943,0.7515193208466558,0.006535947712418301,51,90.0,153.0,42.0,2.60951527790246,2.3904847220976535,1.3741078515418508,2.5242163237163595,0.9910714285714286,1.0,13.590713457931408,0.7483037167469548,0.025974025974025976
cec2017_f7,7,10,700.0,51,10.598069322027982,12.365563133260139,12.269438656624613,14.643115923324899,17.36556313326014,5.0,median(final_error)+margin,5.0,51,383.0,92.0,1.0,16.92081009265405,0.4447530406060878,12.917809943935424,18.23844695881928,0.09090909090909091,0.2736842105263158,24.76822942201034,0.8365760667107992,0.011111111111111112,51,483.0,77.0,5.0,15.22829930251362,2.1372638307465195,7.085907657189296,10.962291261626799,0.3246753246753247,0.71875,23.410442768301433,0.8503743295848959,0.013157894736842105,51,513.0,73.0,8.0,14.67748725344029,2.6880758798198485,5.741074990980906,9.068123763356448,0.42857142857142855,0.8611111111111112,22.853486506672503,0.8558504645702526,0.0136986301369863,51,591.0,63.0,16.0,13.481984364734103,3.8835787685260357,3.235958181829858,5.593114596878104,0.725,1.0,21.652428259796938,0.8567610897320974,0.016129032258064516
cec2017_f8,8,10,800.0,51,0.9965607469414408,2.9851500088078637,2.6749559718599807,4.975013715604291,7.985150008807864,5.0,median(final_error)+margin,5.0,51,353.0,96.0,1.0,7.479236234656469,0.505913774151395,13.496634364854458,18.829181567508634,0.07142857142857142,0.2857142857142857,77.79544234941545,0.8273337272004364,0.010416666666666666,51,461.0,80.0,5.0,5.294690439134456,2.6904595696734077,6.894599777681606,10.568772825125984,0.3287671232876712,0.7532467532467533,72.0223473332749,0.8397611606131805,0.012658227848101266,51,504.0,74.0,8.0,4.646734340573062,3.338415668234802,5.684795384833137,8.935702975417962,0.4444444444444444,0.8695652173913043,71.93612519412055,0.8405621432355165,0.0136986301369863,51,598.0,63.0,16.0,3.4114190377807745,4.573730971027089,3.320430648871252,5.432831416149544,0.725,1.0,67.6512222926718,0.848391644702378,0.015873015873015872
cec2017_f9,9,10,900.0,51,0.0,0.0,0.0,0.0,5.0,5.0,median(final_error)+margin,5.0,51,87.0,154.0,1.0,3.7619483018936535,1.2380516981063465,18.931852663658105,28.750526832447214,0.058823529411764705,0.19480519480519481,13.070684820519652,0.789102102069669,0.012987012987012988,51,91.0,153.0,6.0,2.798887367620978,2.201112632379022,10.43016800268083,17.510151029086842,0.2054794520547945,0.48322147651006714,10.871843105957575,0.789923722873713,0.0392156862745098,51,95.0,152.0,18.0,2.130268877999697,2.869731122000303,6.016383988081657,11.085025793171626,0.42105263157894735,0.7555555555555555,8.959620832570469,0.7862554966241844,0.13157894736842105,51,99.0,151.0,42.0,1.8086464567119265,3.1913535432880735,3.5789235764320324,7.221224210644095,0.638095238095238,0.9074074074074074,7.694720521454568,0.7932605430622068,0.22
cec2017_f10,10,10,1000.0,51,0.4785396514898821,15.2022894628235,31.94269164236943,137.0656724753353,20.2022894628235,5.0,median(final_error)+margin,5.0,36,802.0,44.0,1.0,18.745646155773557,1.4566433070499443,352.3965881464735,444.74640240887214,0.0,0.0,177.1441919810357,0.8110771942275268,0.022727272727272728,2,1095.0,26.0,5.0,7.732333477712473,12.469955985111028,217.08949265897718,286.3678040356719,0.02631578947368421,0.06979405034324943,141.75184183900652,0.7727514650640417,0.03869047619047619,36,1274.0,19.0,2.0,13.189579652162138,7.012709810661363,214.31339548443384,244.4232093083251,0.0,0.0,165.40424053695156,0.8095760438979887,0.05277777777777778,36,1732.0,8.0,2.0,10.476307426240965,9.725982036582536,119.99760167773502,130.10709348283922,0.0,0.0,148.55119361159558,0.831984027728676,0.125
