run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
0,1293,1,53,1,10.972192923482908,14.985444018728959,0.11538461538461539,0.46153846153846156,63.192802821999905,71.8952493728364,0.8789565843814365,0.018867924528301886,1499.0,5.0,37.0,5.0,5.682242776931616,7.538222992729243,0.375,0.9375,59.66472751648286,66.700053450606,0.8945229340883051,0.02702702702702703,1448,4,40,4,6.929210926958149,8.988915020292552,0.2777777777777778,0.8333333333333334,60.74460371943208,67.35376794727208,0.9018738753708035,0.025,1673,7,27,7,3.807551249425842,5.460145109203495,0.75,1.0,59.793007117741716,66.00814327059462,0.9058428877877311,0.037037037037037035
1,1206,1,62,1,16.527868111635144,19.825712960280725,0.01639344262295082,0.13114754098360656,67.26477404199665,73.97801875380952,0.9092535211823691,0.016129032258064516,1558.0,5.0,33.0,5.0,5.85749033428533,7.631971949291165,0.35714285714285715,1.0,62.677953695298164,67.59320615651598,0.9272818565546919,0.030303030303030304,1496,4,37,4,7.4805192380899825,9.012886204357802,0.24242424242424243,0.9393939393939394,63.9791941497324,69.46140583415195,0.9210754285983064,0.02702702702702703,1644,7,28,7,4.533551535528204,6.468075507773847,0.5238095238095238,1.0,61.446874444550836,67.03115121974504,0.9166913192809782,0.03571428571428571
2,1553,1,34,1,4.998363956349749,6.7010593827190865,0.5151515151515151,1.0,62.67160928946218,71.91058930396059,0.8715212863095039,0.029411764705882353,1864.0,5.0,19.0,5.0,2.0255409715450696,2.4363962349451866,1.0,1.0,58.40002418890551,71.02407541896815,0.8222567325854807,0.05263157894736842,1669,3,27,3,2.911617709217353,4.764768555071441,0.8333333333333334,1.0,68.63312233125613,75.03380984744284,0.9146959546742935,0.037037037037037035,1864,5,19,5,2.0255409715450696,2.4363962349451866,1.0,1.0,58.40002418890551,71.02407541896815,0.8222567325854807,0.05263157894736842
3,1471,1,39,1,7.240757539158494,10.20816066529369,0.2894736842105263,0.7631578947368421,66.25591237374644,72.84828678757356,0.9095054296465399,0.02564102564102564,inf,,,,,,,,,,,,2203,1,10,1,1.3777751156076192,1.885979756492725,1.0,1.0,59.606146940628996,64.5277548288225,0.9237288217876259,0.1,2615,2,5,2,1.0696996861975094,1.1172542330000397,1.0,1.0,54.841203604604544,59.2105982504661,0.926205868966589,0.2
4,1271,1,56,1,9.529080744141083,12.242800390171125,0.21818181818181817,0.5636363636363636,65.18545207857262,74.27220069046167,0.8776561280342403,0.017857142857142856,1357.0,5.0,48.0,5.0,6.192181622649969,9.756744498505396,0.4418604651162791,0.813953488372093,64.02673544403447,71.8595838552039,0.890997860119083,0.020833333333333332,1357,5,48,5,6.192181622649969,9.756744498505396,0.4418604651162791,0.813953488372093,64.02673544403447,71.8595838552039,0.890997860119083,0.020833333333333332,1589,8,31,9,1.8555529323984956,2.979971993738309,1.0,1.0,61.037931199409975,66.62418938867275,0.9161527030869582,0.03225806451612903
5,1237,1,59,1,10.92767560750417,14.843612149263572,0.08620689655172414,0.4482758620689655,66.03305288676447,72.44113707139536,0.9115408117032272,0.01694915254237288,1356.0,5.0,48.0,5.0,7.330125325560857,10.388853458232097,0.16279069767441862,0.7441860465116279,63.54562546901712,70.74548721468369,0.8982286781937351,0.020833333333333332,1356,5,48,5,7.330125325560857,10.388853458232097,0.16279069767441862,0.7441860465116279,63.54562546901712,70.74548721468369,0.8982286781937351,0.020833333333333332,1571,8,32,8,4.160599504928541,5.191908572500598,0.7083333333333334,1.0,61.397187177222634,66.36523912156976,0.9251407512410751,0.03125
6,1360,1,47,1,8.475546185029316,11.000704634193426,0.21739130434782608,0.6739130434782609,67.99887305149704,74.18310466269241,0.9166355784202505,0.02127659574468085,1545.0,5.0,34.0,5.0,5.5749042822099,6.775495452567975,0.3793103448275862,1.0,66.17703174297407,70.56063463993134,0.937874667378962,0.029411764705882353,1470,4,39,4,6.452304872626883,7.97693648419172,0.2571428571428571,0.9714285714285714,66.5559123336569,71.88166462899676,0.9259094468272585,0.02564102564102564,1686,7,26,7,4.466721156314179,5.384817730213854,0.6842105263157895,1.0,65.96047110172424,69.10293518257242,0.9545248827340592,0.038461538461538464
7,1220,1,61,1,14.522573985250574,16.99761837944643,0.08333333333333333,0.2833333333333333,64.02585382196214,70.95315746127369,0.9023679299530472,0.01639344262295082,1677.0,5.0,27.0,5.0,3.4813172506801493,4.3024072182098285,0.9090909090909091,1.0,58.28999568211753,63.15081858071387,0.9230283469345111,0.037037037037037035,1544,4,34,4,4.6866980241075,6.451728653924329,0.5666666666666667,1.0,60.88501698983442,66.93367825585135,0.9096320204771033,0.029411764705882353,1729,6,24,6,3.1046306014388847,3.806020474520574,1.0,1.0,58.07545581987051,65.05654926746278,0.8926919191657191,0.041666666666666664
8,1301,1,53,1,12.095046474231367,18.74705449933854,0.11538461538461539,0.4230769230769231,68.66653972220766,74.82864792817594,0.9176504136238977,0.018867924528301886,1554.0,5.0,33.0,5.0,4.8361311058865795,7.231414001978919,0.5,1.0,66.49801208885167,68.89385036051492,0.9652242071080936,0.030303030303030304,1487,4,38,4,6.323995107867859,9.677531942829683,0.4411764705882353,0.8529411764705882,66.60173481720612,70.79917112218865,0.9407134823974367,0.02631578947368421,1605,8,31,8,3.678569327214973,6.43975077016421,0.5652173913043478,1.0,66.26298613681054,69.17467256950185,0.9579082007252603,0.03225806451612903
9,1367,1,47,1,9.494851631709025,13.411714561805184,0.21739130434782608,0.5869565217391305,73.21314351324344,81.24001515281184,0.9011955915509134,0.02127659574468085,1927.0,5.0,17.0,5.0,1.547041610165934,2.0488148302783884,1.0,1.0,57.57964666496235,61.145926931333804,0.9416759145645736,0.058823529411764705,1563,4,33,4,4.647008076688053,7.733257982359101,0.5172413793103449,0.9655172413793104,60.77499695322204,66.0205592106743,0.9205465339862775,0.030303030303030304,1927,5,17,5,1.547041610165934,2.0488148302783884,1.0,1.0,57.57964666496235,61.145926931333804,0.9416759145645736,0.058823529411764705
