function,eps,f_star,n_hits,hit_rate,tau_first,tau_median,tau_max,p_hat,clustering,l2_rate,l3_rate,gamma,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F,F_mean,n_success_F,g2g3_r0.5,beta1_r0.5,g2g3_r1.0,beta1_r1.0,g2g3_r2.0,beta1_r2.0,g2g3_r5.0,beta1_r5.0,g2g3_r10.0,beta1_r10.0,g2g3_r20.0,beta1_r20.0
cec2017_f1,0.01,100.0,51,1.0,225.0,242.0,262.0,0.004138602613000081,1.475636075104724,0.9582893775866266,1.0,0.9582893775866266,117.0,113.0,121.0,0.1430353289943056,0.7900107608839115,0.6469754318896059,0.49373654936793004,538466.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cec2017_f1,1.0,100.0,51,1.0,192.0,204.0,223.0,0.004881784244280655,1.6413618365430391,0.9507992725184263,1.0,0.9507992725184263,125.0,121.0,128.0,0.14424477945634492,0.799692142733663,0.655447363277318,0.4984195104827715,471908.0,1.0,0.5196850393700787,1.0,0.8346456692913385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cec2017_f1,10.0,100.0,51,1.0,171.0,186.0,209.0,0.005359957961114031,2.2416357304259846,0.9459800315291644,1.0,0.9459800315291644,129.0,124.0,133.0,0.1452119430492846,0.8052597581821117,0.6600478151328271,0.5011918002451489,437226.0,1.0,0.19083969465648856,1.0,0.35877862595419846,1.0,0.6564885496183206,1.0,0.9769230769230769,1.0,1.0,1.0,1.0
cec2017_f1,100.0,100.0,51,1.0,152.0,169.0,189.0,0.005930922200255844,2.2255899325448842,0.940225607628794,1.0,0.940225607628794,133.0,129.0,137.0,0.14684677941343532,0.8124330491528887,0.6655862697394535,0.5045198492075241,401846.0,0.9803921568627451,0.07575757575757576,1.0,0.13533834586466165,1.0,0.25735294117647056,1.0,0.582089552238806,1.0,0.8939393939393939,1.0,1.0
cec2017_f1,400.0,100.0,51,1.0,146.0,158.0,176.0,0.006322836598065956,2.081665999466133,0.936275725266551,1.0,0.936275725266551,136.0,132.0,139.0,0.14737954554281002,0.8161436561631956,0.6687641106203857,0.5061063363250323,380889.0,0.7843137254901961,0.051470588235294115,0.9411764705882353,0.08148148148148149,0.9803921568627451,0.17037037037037037,1.0,0.36231884057971014,1.0,0.6764705882352942,1.0,0.9555555555555556
cec2017_f10,0.01,1000.0,0,0.0,,,,,,0.32352035083904174,0.039931499401978904,0.01522235511579863,,,,0.003980041859170648,1.0,0.9960199581408293,0.39332205095299966,211881.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
cec2017_f10,1.0,1000.0,2,0.0392156862745098,1378.0,1393.5,1409.0,2.7844294704015148e-05,0.0,0.3270999696755281,0.04049695376896428,0.015437912941198092,15.5,15.0,16.0,0.004001284389137882,1.0,0.9959987156108621,0.39363597259875976,211681.0,0.0,0.06458333333333333,0.0,0.06458333333333333,0.0,0.06458333333333333,0.0,0.06458333333333333,0.0,0.06458333333333333,0.0,0.06458333333333333
cec2017_f10,10.0,1000.0,17,0.3333333333333333,653.0,869.0,1105.0,0.00032327381291954283,0.7618333197283512,0.34891018477757835,0.0497443364599912,0.018963123497341777,39.0,26.0,57.0,0.004601183919165928,1.0,0.995398816080834,0.40476131179085334,204428.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.02564102564102564
cec2017_f10,100.0,1000.0,42,0.8235294117647058,354.0,510.5,1799.0,0.00107958050586058,4.361736511227394,0.46275095404015265,0.10445850814193273,0.039820806371329016,73.0,8.0,96.0,0.01051140088114387,1.0,0.9894885991188561,0.4941744148641645,158408.0,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0136986301369863
cec2017_f10,400.0,1000.0,51,1.0,140.0,298.0,515.0,0.003347994485656141,1.9496324439921149,0.5334471213812119,0.27952471607693824,0.10851440950567846,106.0,73.0,140.0,0.06840665443213173,1.0,0.9315933455678682,0.6514733866654127,100381.0,0.0,0.009433962264150943,0.0,0.009433962264150943,0.0,0.009433962264150943,0.0,0.009433962264150943,0.0,0.009433962264150943,0.0,0.009433962264150943
