eps,r_conc,n_hits,g2g3_rate,n_neighbors_median,beta1_median
0.01,0.5,0,0.0,,
0.01,1.0,0,0.0,,
0.01,2.0,0,0.0,,
0.01,5.0,0,0.0,,
0.01,10.0,0,0.0,,
0.01,20.0,0,0.0,,
1.0,0.5,2,0.0,0.0,0.06111111111111111
1.0,1.0,2,0.0,0.0,0.06111111111111111
1.0,2.0,2,0.0,0.0,0.06111111111111111
1.0,5.0,2,0.0,0.0,0.06111111111111111
1.0,10.0,2,0.0,0.0,0.06111111111111111
1.0,20.0,2,0.0,0.0,0.06111111111111111
10.0,0.5,51,0.0,0.0,0.009433962264150943
10.0,1.0,51,0.0,0.0,0.009433962264150943
10.0,2.0,51,0.0,0.0,0.009433962264150943
10.0,5.0,51,0.0,0.0,0.009433962264150943
10.0,10.0,51,0.0,0.0,0.009433962264150943
10.0,20.0,51,0.0,0.0,0.009433962264150943
100.0,0.5,51,0.0,0.0,0.00558659217877095
100.0,1.0,51,0.0,0.0,0.00558659217877095
100.0,2.0,51,0.0,0.0,0.00558659217877095
100.0,5.0,51,0.0,0.0,0.00558659217877095
100.0,10.0,51,0.0,0.0,0.00558659217877095
100.0,20.0,51,0.0,0.0,0.00558659217877095
400.0,0.5,51,0.0,0.0,0.005555555555555556
400.0,1.0,51,0.0,0.0,0.005555555555555556
400.0,2.0,51,0.0,0.0,0.005555555555555556
400.0,5.0,51,0.0,0.0,0.005555555555555556
400.0,10.0,51,0.0,0.0,0.005555555555555556
400.0,20.0,51,0.0,0.0,0.005555555555555556
