function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.993,0.993,1.000,9.07e-11,8.78e-02,9.7e+08
cec2017_f2,51/51,0.954,0.954,1.000,9.07e-11,7.25e-02,8.4e+08
cec2017_f3,51/51,0.960,0.960,1.000,9.07e-11,7.98e-02,9.2e+08
cec2017_f4,51/51,0.794,0.794,1.000,9.07e-11,1.33e-01,1.8e+09
cec2017_f5,51/51,1.000,1.000,1.000,9.07e-11,2.56e-01,2.8e+09
cec2017_f6,51/51,1.000,1.000,1.000,9.07e-11,8.10e-01,8.9e+09
cec2017_f7,51/51,1.000,1.000,1.000,9.07e-11,9.68e-02,1.1e+09
cec2017_f8,51/51,1.000,1.000,1.000,9.07e-11,3.09e-01,3.4e+09
cec2017_f9,51/51,0.976,0.976,1.000,9.07e-11,9.09e-02,1.0e+09
cec2017_f10,42/51,0.021,0.423,0.040,9.07e-11,3.47e-02,1.8e+10
cec2017_f11,51/51,0.727,0.727,1.000,9.07e-11,7.08e-02,1.1e+09
cec2017_f12,30/51,0.913,0.913,1.000,9.07e-11,2.82e-02,3.4e+08
cec2017_f13,51/51,0.640,0.640,1.000,9.07e-11,8.78e-02,1.5e+09
cec2017_f14,51/51,0.363,0.363,1.000,9.07e-11,9.92e-02,3.0e+09
cec2017_f15,51/51,0.426,0.426,1.000,9.07e-11,7.25e-02,1.9e+09
cec2017_f16,51/51,0.743,0.743,1.000,9.07e-11,4.55e-02,6.8e+08
cec2017_f17,51/51,0.469,0.469,1.000,9.07e-11,6.07e-02,1.4e+09
cec2017_f18,51/51,0.800,0.800,1.000,9.07e-11,8.50e-02,1.2e+09
cec2017_f19,51/51,0.477,0.477,1.000,9.07e-11,8.39e-02,1.9e+09
cec2017_f20,51/51,0.263,0.263,1.000,9.07e-11,6.75e-02,2.8e+09
cec2017_f21,8/51,0.308,0.573,0.353,9.07e-11,2.11e-02,7.5e+08
cec2017_f22,18/51,0.990,0.990,1.000,9.07e-11,2.65e-02,2.9e+08
cec2017_f24,4/51,0.062,0.349,0.133,9.07e-11,2.02e-02,3.6e+09
