function,0.01,1.0,10.0,100.0,400.0
cec2017_f1,51/51,51/51,51/51,51/51,51/51
cec2017_f10,0/51,2/51,17/51,42/51,51/51
cec2017_f11,34/51,37/51,51/51,51/51,51/51
cec2017_f12,4/51,25/51,25/51,30/51,51/51
cec2017_f13,17/51,18/51,51/51,51/51,51/51
cec2017_f14,14/51,50/51,50/51,51/51,51/51
cec2017_f15,21/51,51/51,51/51,51/51,51/51
cec2017_f16,0/51,51/51,51/51,51/51,51/51
cec2017_f17,1/51,50/51,51/51,51/51,51/51
cec2017_f18,14/51,50/51,50/51,51/51,51/51
cec2017_f19,30/51,51/51,51/51,51/51,51/51
cec2017_f2,51/51,51/51,51/51,51/51,51/51
cec2017_f20,51/51,51/51,51/51,51/51,51/51
cec2017_f21,0/51,0/51,0/51,8/51,51/51
cec2017_f22,2/51,2/51,2/51,18/51,51/51
cec2017_f23,0/51,0/51,0/51,0/51,51/51
cec2017_f24,3/51,3/51,3/51,4/51,51/51
cec2017_f25,0/51,0/51,0/51,0/51,40/51
cec2017_f26,0/51,0/51,0/51,0/51,51/51
cec2017_f27,0/51,0/51,0/51,0/51,51/51
cec2017_f28,0/51,0/51,0/51,0/51,43/51
cec2017_f29,0/51,0/51,0/51,0/51,51/51
cec2017_f3,51/51,51/51,51/51,51/51,51/51
cec2017_f30,0/51,0/51,0/51,0/51,37/51
cec2017_f4,51/51,51/51,51/51,51/51,51/51
cec2017_f5,0/51,2/51,51/51,51/51,51/51
cec2017_f6,51/51,51/51,51/51,51/51,51/51
cec2017_f7,0/51,0/51,0/51,51/51,51/51
cec2017_f8,0/51,1/51,51/51,51/51,51/51
cec2017_f9,51/51,51/51,51/51,51/51,51/51
