function,hits,T_first,tau_med,tau_max,p_hat,a_valid,clustering
cec2017_f1,51/51,551,606,641,5.24e-02,3.03e-03,0.06
cec2017_f2,51/51,601,761,905,4.30e-02,9.93e-04,0.02
cec2017_f3,51/51,763,1089,1896,3.97e-02,2.16e-03,0.05
cec2017_f4,0/51,--,--,--,--,--,--
cec2017_f5,0/51,--,--,--,--,--,--
cec2017_f6,51/51,248,259,291,9.36e-02,1.62e-02,0.17
cec2017_f7,0/51,--,--,--,--,--,--
cec2017_f8,0/51,--,--,--,--,--,--
cec2017_f9,51/51,192,196,206,1.68e-01,5.88e-02,0.35
cec2017_f10,0/51,--,--,--,--,--,--
cec2017_f11,0/51,--,--,--,--,--,--
cec2017_f12,0/51,--,--,--,--,--,--
cec2017_f13,0/51,--,--,--,--,--,--
cec2017_f14,0/51,--,--,--,--,--,--
cec2017_f15,0/51,--,--,--,--,--,--
cec2017_f16,0/51,--,--,--,--,--,--
cec2017_f17,0/51,--,--,--,--,--,--
cec2017_f18,0/51,--,--,--,--,--,--
cec2017_f19,0/51,--,--,--,--,--,--
cec2017_f20,0/51,--,--,--,--,--,--
cec2017_f21,0/51,--,--,--,--,--,--
cec2017_f22,0/51,--,--,--,--,--,--
cec2017_f23,0/51,--,--,--,--,--,--
cec2017_f24,0/51,--,--,--,--,--,--
cec2017_f25,0/51,--,--,--,--,--,--
cec2017_f26,0/51,--,--,--,--,--,--
cec2017_f27,0/51,--,--,--,--,--,--
cec2017_f28,0/51,--,--,--,--,--,--
cec2017_f29,0/51,--,--,--,--,--,--
cec2017_f30,0/51,--,--,--,--,--,--
