function,d,eps,n_runs,n_hits,hit_rate,T_first,tau_min,tau_med,tau_max,p_hat,a_valid,clustering,gamma_mean,l2_mean,l3_mean,a_t,predicted_hazard,gap_factor,km_times,km_survival
cec2017_f1,50,0.01,51,51,1.0,454.0,454.0,480.0,501.0,0.06227106227106227,0.0044351726230561495,0.07122365447613699,0.9673593988493601,0.9673593988493601,1.0,7.239432647076588e-13,7.00313321348644e-13,88918860134.12166,"[454 462 463 464 465 466 467 469 470 472 474 475 476 477 478 479 480 481
 482 483 484 485 486 488 489 490 492 495 498 501]","[0.98039216 0.96078431 0.94117647 0.90196078 0.88235294 0.8627451
 0.80392157 0.76470588 0.74509804 0.70588235 0.68627451 0.66666667
 0.62745098 0.60784314 0.56862745 0.54901961 0.49019608 0.39215686
 0.37254902 0.33333333 0.2745098  0.23529412 0.19607843 0.17647059
 0.11764706 0.09803922 0.05882353 0.03921569 0.01960784 0.        ]"
cec2017_f1,50,1.0,51,51,1.0,393.0,393.0,424.0,441.0,0.06211936662606577,0.0028534450656043653,0.04593487056590557,0.9629185007336267,0.9629185007336267,1.0,7.239432647076588e-13,6.970983630685059e-13,89111336243.32025,"[393 406 408 409 410 411 412 413 414 416 417 418 419 421 422 423 424 425
 426 427 429 430 431 432 433 434 435 437 440 441]","[0.98039216 0.96078431 0.94117647 0.92156863 0.90196078 0.8627451
 0.84313725 0.78431373 0.76470588 0.74509804 0.70588235 0.66666667
 0.64705882 0.62745098 0.58823529 0.54901961 0.49019608 0.45098039
 0.37254902 0.2745098  0.21568627 0.19607843 0.15686275 0.1372549
 0.11764706 0.07843137 0.05882353 0.03921569 0.01960784 0.        ]"
cec2017_f1,50,10.0,51,51,1.0,364.0,364.0,395.0,412.0,0.07338129496402877,0.003781869513612812,0.05153724141099813,0.9603083952027412,0.9603083952027412,1.0,7.239432647076588e-13,6.952087947492451e-13,105552886439.67267,"[364 379 381 382 385 387 388 389 390 391 392 393 394 395 396 397 398 399
 400 401 402 403 405 406 408 412]","[0.98039216 0.94117647 0.92156863 0.88235294 0.84313725 0.82352941
 0.78431373 0.7254902  0.68627451 0.64705882 0.56862745 0.54901961
 0.52941176 0.49019608 0.47058824 0.35294118 0.33333333 0.23529412
 0.21568627 0.17647059 0.15686275 0.11764706 0.09803922 0.05882353
 0.03921569 0.        ]"
cec2017_f1,50,100.0,51,51,1.0,188.0,188.0,365.0,386.0,0.07193229901269393,0.0002469160211814314,0.0034326168434830368,0.9573575129533679,0.9573575129533679,1.0,7.239432647076588e-13,6.93072523419866e-13,103787549761.39355,"[188 349 350 352 354 356 358 360 361 362 363 364 365 366 367 368 369 370
 371 372 373 374 375 376 378 383 386]","[0.98039216 0.96078431 0.94117647 0.92156863 0.8627451  0.80392157
 0.76470588 0.74509804 0.70588235 0.64705882 0.62745098 0.56862745
 0.49019608 0.47058824 0.43137255 0.37254902 0.35294118 0.2745098
 0.25490196 0.19607843 0.17647059 0.1372549  0.09803922 0.05882353
 0.03921569 0.01960784 0.        ]"
cec2017_f1,50,400.0,51,51,1.0,174.0,174.0,346.0,366.0,0.05795454545454545,0.0003987666675902002,0.006880679754497572,0.9541095126575221,0.9541095126575221,1.0,7.239432647076588e-13,6.907211554819199e-13,83904401934.97513,"[174 192 325 326 329 331 332 334 335 337 338 340 341 342 343 344 345 346
 347 348 349 350 351 352 354 355 356 358 361 365 366]","[0.98039216 0.96078431 0.94117647 0.92156863 0.90196078 0.88235294
 0.8627451  0.84313725 0.82352941 0.78431373 0.74509804 0.7254902
 0.70588235 0.68627451 0.60784314 0.56862745 0.52941176 0.49019608
 0.43137255 0.33333333 0.31372549 0.2745098  0.23529412 0.19607843
 0.15686275 0.1372549  0.09803922 0.05882353 0.03921569 0.01960784
 0.        ]"
cec2017_f2,50,0.01,51,51,1.0,516.0,516.0,625.0,829.0,0.04257095158597663,0.002632382311797521,0.06183517665751823,0.9956479576148916,0.9958135244447598,0.9998344331701318,7.239432647076588e-13,7.207926329352373e-13,59061302295.249176,"[516 526 538 542 552 554 559 562 563 564 566 568 573 579 582 585 595 604
 607 609 618 620 625 628 629 631 633 636 646 651 655 658 660 662 664 668
 673 674 686 687 688 689 691 694 748 782 829]","[0.98039216 0.96078431 0.94117647 0.92156863 0.90196078 0.88235294
 0.8627451  0.84313725 0.80392157 0.78431373 0.76470588 0.74509804
 0.7254902  0.70588235 0.68627451 0.64705882 0.60784314 0.58823529
 0.56862745 0.54901961 0.52941176 0.50980392 0.49019608 0.47058824
 0.45098039 0.43137255 0.41176471 0.37254902 0.35294118 0.33333333
 0.31372549 0.29411765 0.2745098  0.25490196 0.23529412 0.21568627
 0.19607843 0.17647059 0.15686275 0.1372549  0.11764706 0.09803922
 0.07843137 0.05882353 0.03921569 0.01960784 0.        ]"
cec2017_f2,50,1.0,51,51,1.0,490.0,490.0,595.0,801.0,0.04018912529550828,0.0024220469721090154,0.060266227600124324,0.9954958262955619,0.9956671807299698,0.999828645565592,7.239432647076588e-13,7.206824984912575e-13,55765368771.46851,"[490 505 514 516 517 528 529 530 534 535 538 540 542 544 545 551 557 564
 565 569 572 574 580 587 591 595 600 601 604 606 608 609 618 625 628 634
 636 644 650 652 660 661 665 715 758 801]","[0.98039216 0.96078431 0.94117647 0.92156863 0.90196078 0.88235294
 0.8627451  0.84313725 0.82352941 0.80392157 0.78431373 0.76470588
 0.74509804 0.7254902  0.70588235 0.68627451 0.66666667 0.64705882
 0.62745098 0.60784314 0.58823529 0.56862745 0.54901961 0.52941176
 0.50980392 0.49019608 0.47058824 0.45098039 0.43137255 0.41176471
 0.39215686 0.37254902 0.35294118 0.33333333 0.31372549 0.29411765
 0.21568627 0.17647059 0.1372549  0.11764706 0.09803922 0.07843137
 0.05882353 0.03921569 0.01960784 0.        ]"
cec2017_f2,50,10.0,51,51,1.0,474.0,474.0,579.0,783.0,0.04407951598962835,0.0028827237026495256,0.06539826125422551,0.9953922820724713,0.9955675756892796,0.9998247063831919,7.239432647076588e-13,7.206075383483518e-13,61169934595.27161,"[474 484 494 496 507 510 511 515 516 519 524 525 526 533 535 544 550 552
 557 564 565 573 578 579 583 586 587 590 603 608 610 616 621 626 629 631
 638 639 647 651 697 736 783]","[0.98039216 0.96078431 0.94117647 0.92156863 0.90196078 0.88235294
 0.8627451  0.84313725 0.82352941 0.78431373 0.76470588 0.74509804
 0.7254902  0.70588235 0.68627451 0.64705882 0.62745098 0.60784314
 0.58823529 0.56862745 0.54901961 0.52941176 0.50980392 0.49019608
 0.45098039 0.43137255 0.39215686 0.37254902 0.35294118 0.33333333
 0.31372549 0.25490196 0.21568627 0.19607843 0.17647059 0.1372549
 0.11764706 0.09803922 0.07843137 0.05882353 0.03921569 0.01960784
 0.        ]"
cec2017_f2,50,100.0,51,51,1.0,397.0,397.0,529.0,743.0,0.041598694942903754,0.00168260011121113,0.04044838698715383,0.9951442218879476,0.995328952576993,0.9998152693109545,7.239432647076588e-13,7.204279568485237e-13,57741644459.32273,"[397 414 432 438 441 442 443 444 447 452 462 463 473 488 489 493 497 498
 501 505 522 525 528 529 543 546 550 551 558 559 560 574 575 579 583 586
 589 593 599 606 609 612 624 679 698 743]","[0.98039216 0.96078431 0.94117647 0.92156863 0.90196078 0.88235294
 0.8627451  0.84313725 0.82352941 0.80392157 0.78431373 0.76470588
 0.74509804 0.7254902  0.70588235 0.68627451 0.66666667 0.64705882
 0.62745098 0.60784314 0.58823529 0.52941176 0.50980392 0.49019608
 0.45098039 0.43137255 0.41176471 0.39215686 0.37254902 0.35294118
 0.33333333 0.31372549 0.29411765 0.2745098  0.25490196 0.23529412
 0.19607843 0.17647059 0.1372549  0.11764706 0.09803922 0.07843137
 0.05882353 0.03921569 0.01960784 0.        ]"
cec2017_f2,50,400.0,51,51,1.0,325.0,325.0,422.0,611.0,0.04314720812182741,0.0020187802437239277,0.046788200942778094,0.9940951830814159,0.9943198228554924,0.9997753602259234,7.239432647076588e-13,7.196685122701181e-13,59954280875.40486,"[325 342 354 361 362 371 373 383 391 394 398 402 404 405 406 409 413 414
 415 416 420 422 424 426 427 429 431 432 441 443 452 453 454 459 472 473
 476 478 479 486 490 491 496 506 569 611]","[0.98039216 0.96078431 0.94117647 0.92156863 0.90196078 0.88235294
 0.8627451  0.82352941 0.80392157 0.78431373 0.76470588 0.7254902
 0.70588235 0.68627451 0.66666667 0.64705882 0.62745098 0.60784314
 0.58823529 0.56862745 0.50980392 0.49019608 0.47058824 0.45098039
 0.43137255 0.41176471 0.39215686 0.37254902 0.35294118 0.33333333
 0.31372549 0.29411765 0.2745098  0.25490196 0.23529412 0.21568627
 0.19607843 0.17647059 0.1372549  0.11764706 0.09803922 0.07843137
 0.05882353 0.03921569 0.01960784 0.        ]"
