function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.954,0.954,1.000,7.24e-13,5.80e-02,8.4e+10
cec2017_f2,51/51,0.994,0.994,1.000,7.24e-13,4.31e-02,6.0e+10
cec2017_f3,51/51,0.910,0.910,1.000,7.24e-13,6.05e-02,9.2e+10
cec2017_f4,51/51,1.000,1.000,1.000,7.24e-13,2.74e-01,3.8e+11
cec2017_f5,51/51,1.000,1.000,1.000,7.24e-13,6.47e-02,8.9e+10
cec2017_f6,51/51,1.000,1.000,1.000,7.24e-13,1.00e+00,1.4e+12
cec2017_f7,51/51,0.997,0.997,1.000,7.24e-13,5.13e-02,7.1e+10
cec2017_f8,51/51,1.000,1.000,1.000,7.24e-13,7.50e-02,1.0e+11
cec2017_f9,51/51,1.000,1.000,1.000,7.24e-13,2.30e-01,3.2e+11
cec2017_f11,51/51,0.854,0.854,1.000,7.24e-13,1.14e-01,1.8e+11
cec2017_f13,51/51,0.998,0.998,1.000,7.24e-13,6.45e-02,8.9e+10
cec2017_f14,51/51,0.921,0.921,1.000,7.24e-13,1.40e-01,2.1e+11
cec2017_f15,51/51,1.000,1.000,1.000,7.24e-13,9.59e-02,1.3e+11
cec2017_f16,38/51,0.090,0.758,0.172,7.24e-13,3.12e-02,4.8e+11
cec2017_f17,50/51,0.105,0.490,0.164,7.24e-13,3.88e-02,5.1e+11
cec2017_f18,51/51,0.981,0.981,1.000,7.24e-13,6.89e-02,9.7e+10
cec2017_f19,51/51,1.000,1.000,1.000,7.24e-13,1.37e-01,1.9e+11
cec2017_f20,51/51,0.104,0.526,0.205,7.24e-13,4.06e-02,5.4e+11
cec2017_f21,51/51,0.346,0.470,0.731,7.24e-13,4.15e-02,1.7e+11
cec2017_f22,12/51,0.064,0.442,0.169,7.24e-13,2.20e-02,4.7e+11
cec2017_f29,51/51,0.144,0.566,0.263,7.24e-13,4.01e-02,3.8e+11
