function,hits,T_first,tau_med,tau_max,p_hat,a_valid,clustering
cec2017_f1,51/51,174,346,366,5.80e-02,3.99e-04,0.01
cec2017_f2,51/51,325,422,611,4.31e-02,2.02e-03,0.05
cec2017_f3,51/51,152,173,207,6.05e-02,1.13e-02,0.19
cec2017_f4,51/51,51,54,56,2.74e-01,3.92e-02,0.14
cec2017_f5,51/51,33,58,79,6.47e-02,6.71e-03,0.10
cec2017_f6,51/51,1,1,1,1.00e+00,0.00e+00,0.00
cec2017_f7,51/51,63,107,161,5.13e-02,5.09e-03,0.10
cec2017_f8,51/51,41,57,74,7.50e-02,1.21e-02,0.16
cec2017_f9,51/51,68,71,74,2.30e-01,1.96e-02,0.09
cec2017_f10,0/51,--,--,--,--,--,--
cec2017_f11,51/51,84,94,105,1.14e-01,1.62e-02,0.14
cec2017_f12,0/51,--,--,--,--,--,--
cec2017_f13,51/51,279,301,367,6.45e-02,1.75e-02,0.27
cec2017_f14,51/51,149,155,163,1.40e-01,2.69e-02,0.19
cec2017_f15,51/51,209,218,234,9.59e-02,4.27e-02,0.45
cec2017_f16,38/51,1191,2379,2986,3.12e-02,2.06e-04,0.01
cec2017_f17,50/51,607,1398,2233,3.88e-02,3.51e-04,0.01
cec2017_f18,51/51,171,190,206,6.89e-02,7.97e-03,0.12
cec2017_f19,51/51,166,172,179,1.37e-01,2.69e-02,0.20
cec2017_f20,51/51,962,1539,2197,4.06e-02,2.46e-04,0.01
cec2017_f21,51/51,373,485,574,4.15e-02,1.25e-03,0.03
cec2017_f22,12/51,242,1509,2241,2.20e-02,8.35e-05,0.00
cec2017_f23,0/51,--,--,--,--,--,--
cec2017_f24,0/51,--,--,--,--,--,--
cec2017_f25,0/51,--,--,--,--,--,--
cec2017_f26,0/51,--,--,--,--,--,--
cec2017_f27,0/51,--,--,--,--,--,--
cec2017_f28,0/51,--,--,--,--,--,--
cec2017_f29,51/51,1111,1537,1909,4.01e-02,4.52e-04,0.01
cec2017_f30,0/51,--,--,--,--,--,--
