function,0.01,1.0,10.0,100.0,400.0
cec2017_f1,51/51,51/51,51/51,51/51,51/51
cec2017_f10,0/51,0/51,0/51,0/51,0/51
cec2017_f11,0/51,0/51,0/51,51/51,51/51
cec2017_f12,0/51,0/51,0/51,0/51,0/51
cec2017_f13,0/51,0/51,0/51,40/51,51/51
cec2017_f14,0/51,0/51,0/51,51/51,51/51
cec2017_f15,0/51,0/51,0/51,51/51,51/51
cec2017_f16,0/51,0/51,0/51,0/51,38/51
cec2017_f17,0/51,0/51,0/51,6/51,50/51
cec2017_f18,0/51,0/51,0/51,51/51,51/51
cec2017_f19,0/51,0/51,0/51,51/51,51/51
cec2017_f2,51/51,51/51,51/51,51/51,51/51
cec2017_f20,0/51,0/51,0/51,1/51,51/51
cec2017_f21,0/51,0/51,0/51,0/51,51/51
cec2017_f22,0/51,0/51,0/51,0/51,12/51
cec2017_f23,0/51,0/51,0/51,0/51,0/51
cec2017_f24,0/51,0/51,0/51,0/51,0/51
cec2017_f25,0/51,0/51,0/51,0/51,0/51
cec2017_f26,0/51,0/51,0/51,0/51,0/51
cec2017_f27,0/51,0/51,0/51,0/51,0/51
cec2017_f28,0/51,0/51,0/51,0/51,0/51
cec2017_f29,0/51,0/51,0/51,0/51,51/51
cec2017_f3,51/51,51/51,51/51,51/51,51/51
cec2017_f30,0/51,0/51,0/51,0/51,0/51
cec2017_f4,0/51,0/51,8/51,29/51,51/51
cec2017_f5,0/51,0/51,11/51,51/51,51/51
cec2017_f6,51/51,51/51,51/51,51/51,51/51
cec2017_f7,0/51,0/51,0/51,51/51,51/51
cec2017_f8,0/51,0/51,11/51,51/51,51/51
cec2017_f9,51/51,51/51,51/51,51/51,51/51
