run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,tau_G2G3_first,tau_G4_first,tau_G5_first,tau_Ghat_first,tau_G2G3_stable,tau_G4_stable,tau_G5_stable,tau_Ghat_stable,T_conc_5,T_conc_10,T_conc_20,delta_5,delta_10,delta_20,phase1_duration,phase2_duration,phase_ratio,Twit
0,inf,inf,False,False,2164,0.0,0.0,0.11552680221811461,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
1,inf,inf,False,False,2164,0.0,0.0,0.20748613678373382,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
2,inf,inf,False,False,2164,0.0,0.0,0.1344731977818854,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
3,inf,inf,False,False,2164,0.0,0.0,0.20748613678373382,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
4,inf,inf,False,False,2164,0.0,0.0,0.1377079482439926,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
5,inf,inf,False,False,2164,0.0,0.0,0.14371534195933455,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
6,inf,inf,False,False,2164,0.0,0.0,0.18345656192236598,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
7,inf,inf,False,False,2164,0.0,0.0,0.16959334565619225,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
8,inf,inf,False,False,2164,0.0,0.0,0.18114602587800369,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
9,inf,inf,False,False,2164,0.0,0.0,0.12707948243992606,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
10,inf,inf,False,False,2164,0.0,0.0,0.17051756007393715,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
11,inf,inf,False,False,2164,0.0,0.0,0.1289279112754159,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
12,inf,inf,False,False,2164,0.8756931608133087,0.0,1.0,0.0,0.0,False,False,False,269.0,inf,0.0,inf,269.0,inf,0.0,inf,269.0,269.0,269.0,,,,,,,inf
