run,tau,hit,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,Twit
0,183.0,True,183,0.46994535519125685,0.08196721311475409,1.0,0.08196721311475409,1.225476622004036e-08,168.0
1,209.0,True,209,0.44019138755980863,0.09569377990430622,1.0,0.09569377990430622,1.382147215834348e-08,189.0
2,178.0,True,178,0.38202247191011235,0.056179775280898875,1.0,0.056179775280898875,2.5847992115191643e-09,168.0
3,187.0,True,187,0.49732620320855614,0.11229946524064172,1.0,0.11229946524064172,1.553531272844228e-08,166.0
4,188.0,True,188,0.4148936170212766,0.09574468085106383,1.0,0.09574468085106383,9.917545809774405e-09,170.0
5,186.0,True,186,0.5053763440860215,0.11827956989247312,1.0,0.11827956989247312,1.9825078932033083e-08,164.0
6,186.0,True,186,0.44086021505376344,0.11290322580645161,1.0,0.11290322580645161,1.5314928182762177e-08,165.0
7,194.0,True,194,0.4536082474226804,0.07731958762886598,1.0,0.07731958762886598,8.203345088434177e-09,179.0
8,194.0,True,194,0.41237113402061853,0.09278350515463918,1.0,0.09278350515463918,1.2874689072694068e-08,176.0
9,185.0,True,185,0.42702702702702705,0.08648648648648649,1.0,0.08648648648648649,1.6742007529034426e-08,169.0
10,198.0,True,198,0.4393939393939394,0.11616161616161616,1.0,0.11616161616161616,1.022305908330237e-08,175.0
11,176.0,True,176,0.39204545454545453,0.06818181818181818,1.0,0.06818181818181818,6.946151681124745e-09,164.0
12,185.0,True,185,0.518918918918919,0.11351351351351352,1.0,0.11351351351351352,1.6238000765846023e-08,164.0
13,194.0,True,194,0.4690721649484536,0.10824742268041238,1.0,0.10824742268041238,1.311351386564617e-08,173.0
14,181.0,True,181,0.5027624309392266,0.11049723756906077,1.0,0.11049723756906077,1.644314972400313e-08,161.0
15,185.0,True,185,0.4864864864864865,0.08648648648648649,1.0,0.08648648648648649,9.354424685871339e-09,169.0
16,191.0,True,191,0.4973821989528796,0.10471204188481675,1.0,0.10471204188481675,1.4727707906637677e-08,171.0
17,190.0,True,190,0.5210526315789473,0.08947368421052632,1.0,0.08947368421052632,1.0662673294239474e-08,173.0
18,188.0,True,188,0.4521276595744681,0.09574468085106383,1.0,0.09574468085106383,1.370586811341281e-08,170.0
19,185.0,True,185,0.4702702702702703,0.11351351351351352,1.0,0.11351351351351352,1.521477842070078e-08,164.0
20,195.0,True,195,0.5076923076923077,0.11282051282051282,1.0,0.11282051282051282,1.0048117123579216e-08,173.0
21,198.0,True,198,0.5404040404040404,0.10101010101010101,1.0,0.10101010101010101,1.3593713430877663e-08,178.0
22,179.0,True,179,0.5027932960893855,0.0893854748603352,1.0,0.0893854748603352,5.3202280178133326e-09,163.0
23,182.0,True,182,0.4340659340659341,0.06593406593406594,1.0,0.06593406593406594,6.390330614562127e-09,170.0
24,184.0,True,184,0.44021739130434784,0.10869565217391304,1.0,0.10869565217391304,1.2240079317977293e-08,164.0
25,178.0,True,178,0.4438202247191011,0.11235955056179775,1.0,0.11235955056179775,1.5096762798477194e-08,158.0
26,189.0,True,189,0.4973544973544973,0.08465608465608465,1.0,0.08465608465608465,5.651418543596984e-09,173.0
27,189.0,True,189,0.4603174603174603,0.09523809523809523,1.0,0.09523809523809523,1.0229510477809051e-08,171.0
28,186.0,True,186,0.34408602150537637,0.08602150537634409,1.0,0.08602150537634409,7.433224582729805e-09,170.0
29,184.0,True,184,0.46195652173913043,0.10326086956521739,1.0,0.10326086956521739,1.1470143847451167e-08,165.0
30,187.0,True,187,0.3582887700534759,0.0962566844919786,1.0,0.0962566844919786,1.3667216848844466e-08,169.0
31,182.0,True,182,0.44505494505494503,0.1043956043956044,1.0,0.1043956043956044,1.2801190732571285e-08,163.0
32,192.0,True,192,0.46875,0.08854166666666667,1.0,0.08854166666666667,1.3845744226965868e-08,175.0
33,182.0,True,182,0.33516483516483514,0.06593406593406594,1.0,0.06593406593406594,4.720483431847211e-09,170.0
34,186.0,True,186,0.478494623655914,0.10215053763440861,1.0,0.10215053763440861,5.607901077990424e-09,167.0
35,177.0,True,177,0.4689265536723164,0.096045197740113,1.0,0.096045197740113,1.2747974154970979e-08,160.0
36,196.0,True,196,0.4642857142857143,0.11734693877551021,1.0,0.11734693877551021,1.8387820717388074e-08,173.0
37,181.0,True,181,0.430939226519337,0.08287292817679558,1.0,0.08287292817679558,8.51963753086774e-09,166.0
38,190.0,True,190,0.5052631578947369,0.1,1.0,0.1,1.1377221959932152e-08,171.0
39,190.0,True,190,0.49473684210526314,0.1,1.0,0.1,1.7132376684748097e-08,171.0
40,171.0,True,171,0.4619883040935672,0.1111111111111111,1.0,0.1111111111111111,1.1782055970879145e-08,152.0
41,176.0,True,176,0.3806818181818182,0.03977272727272727,1.0,0.03977272727272727,2.144548113511453e-09,169.0
42,185.0,True,185,0.41081081081081083,0.10810810810810811,1.0,0.10810810810810811,1.6544559120593155e-08,165.0
43,183.0,True,183,0.46994535519125685,0.07650273224043716,1.0,0.07650273224043716,9.570515758188129e-09,169.0
44,188.0,True,188,0.425531914893617,0.0851063829787234,1.0,0.0851063829787234,1.0589833687743313e-08,172.0
45,189.0,True,189,0.4603174603174603,0.06878306878306878,1.0,0.06878306878306878,8.838679850276416e-09,176.0
46,187.0,True,187,0.4117647058823529,0.13368983957219252,1.0,0.13368983957219252,1.3028525576174376e-08,162.0
47,189.0,True,189,0.38095238095238093,0.10582010582010581,1.0,0.10582010582010581,1.0855232367932818e-08,169.0
48,189.0,True,189,0.4656084656084656,0.10052910052910052,1.0,0.10052910052910052,1.5702032461768618e-08,170.0
49,190.0,True,190,0.49473684210526314,0.11052631578947368,1.0,0.11052631578947368,1.6859238776445694e-08,169.0
50,178.0,True,178,0.4044943820224719,0.11235955056179775,1.0,0.11235955056179775,1.4319875970708053e-08,158.0
