Func,τ_deep,ε_in,#(A_deep),#(A_in \ A_deep),ε_out,#(A_out \ A_in),diam(A_out),diam_center(A_out),"#([l,u]^D \ A_out)"
f1,216,1.0,1,65,6.063707320005372,57,1.6352622327948363,1.737614581537615,0
f2,126,1.0,1,15,18.32776598337251,126,15.56543797078197,17.616011156809172,0
f3,130,1.0,1,65,6.22646112259912,78,2.6726138516214193,3.2311122414427755,0
f4,160,1.0,1,134,1.4643800171071804,0,20.235035824910458,21.61282178420111,0
f5,668,5.224908288233223,1,5,19.31921653454564,49,112.1107326529921,130.0803232957782,0
f6,149,1.0,1,135,2.708413389329189,1,4.561618177592228,5.572593485906732,0
f8,823,5.2240125154137615,1,5,20.09666278958528,36,103.22874665453539,125.87700848195968,0
f9,122,1.0,1,116,5.696684073009147,28,5.748584075538381,7.7586930316644604,0
f10,1017,26.604006559941126,1,1,573.2532060553706,27,295.3118445135598,381.0697078547536,0
f11,512,1.0,1,70,1.9371941386692697,0,16.27413684841032,17.645379920606942,0
f12,449,19.552738217028036,1,36,128.59806943365663,43,29.035534385749774,38.77497153641575,0
f13,498,10.414448582096043,1,61,32.437768172301546,4,56.94976068527532,83.91061609822182,0
f14,756,1.0,1,3,5.7863589992361995,38,55.75935480018303,67.2296967262463,0
f15,452,1.0,1,79,3.053211698881796,0,30.195493798514878,41.365939967853336,0
f16,1060,1.0,1,20,2.6973592454534585,0,44.391408686868886,55.18883307117086,0
f17,945,1.0,1,3,5.558628905619571,30,187.789110753842,202.39960410035488,0
f18,477,1.0,1,75,2.9245628908146957,0,26.1765347862144,31.99726721793978,0
f19,611,1.0,1,59,2.546811962073571,0,143.06003960214886,164.5770263003019,0
f20,755,1.0,1,43,3.1182683097767496,1,189.99928561377607,199.20379007768096,0
f22,102,175.0000000000008,1,148,1309.7873618551475,0,256.59575405958543,406.4006621283589,0
f24,196,580.4765734999934,1,125,2282.9259312289014,0,305.435851659449,494.25438355444817,0
